mach,cd,cd_lo,cd_hi
0.00,1.079,1.078,1.080
0.05,1.079,1.078,1.080
0.10,1.079,1.078,1.080
0.15,1.079,1.078,1.080
0.20,1.079,1.078,1.080
0.25,1.079,1.078,1.080
0.30,1.079,1.078,1.080
0.35,1.079,1.078,1.080
0.40,1.079,1.078,1.080
0.45,1.079,1.078,1.080
0.50,1.079,1.078,1.080
0.55,1.080,1.079,1.081
0.60,1.082,1.081,1.083
0.65,1.086,1.084,1.088
0.70,1.092,1.090,1.095
0.75,1.102,1.098,1.106
0.80,1.124,1.117,1.131
0.85,1.155,1.148,1.162
0.90,1.186,1.176,1.196
0.95,1.221,1.212,1.231
1.00,1.257,1.247,1.267
1.05,1.290,1.283,1.297
1.10,1.315,1.307,1.323
1.15,1.335,1.331,1.340
1.20,1.351,1.347,1.355
1.25,1.362,1.360,1.365
1.30,1.373,1.369,1.376
1.35,1.382,1.379,1.385
1.40,1.391,1.387,1.394
1.45,1.398,1.395,1.400
1.50,1.399,1.398,1.400
1.55,1.397,1.395,1.400
1.60,1.391,1.388,1.394
1.65,1.384,1.382,1.386
1.70,1.378,1.376,1.380
1.75,1.372,1.370,1.374
1.80,1.366,1.364,1.368
1.85,1.359,1.357,1.361
1.90,1.353,1.351,1.356
1.95,1.347,1.345,1.350
2.00,1.346,1.343,1.348
2.05,1.336,1.335,1.338
2.10,1.331,1.329,1.333
2.15,1.327,1.326,1.328
2.20,1.322,1.320,1.324
2.25,1.318,1.316,1.319
2.30,1.313,1.311,1.315
2.35,1.310,1.309,1.311
2.40,1.303,1.299,1.308
2.45,1.303,1.301,1.305
2.50,1.302,1.300,1.304
2.55,1.297,1.295,1.298
2.60,1.294,1.289,1.299
2.65,1.291,1.290,1.293
2.70,1.289,1.287,1.291
2.75,1.287,1.285,1.288
2.80,1.284,1.282,1.287
2.85,1.284,1.282,1.285
2.90,1.282,1.281,1.283
2.95,1.281,1.280,1.282
3.00,1.281,1.280,1.282
3.05,1.280,1.279,1.281
3.10,1.280,1.279,1.281
3.15,1.280,1.279,1.281
3.20,1.279,1.276,1.282
3.25,1.280,1.279,1.281
3.30,1.279,1.277,1.282
3.35,1.280,1.279,1.281
3.40,1.280,1.279,1.281
3.45,1.280,1.279,1.281
3.50,1.280,1.279,1.281
3.55,1.280,1.279,1.281
3.60,1.278,1.276,1.281
3.65,1.280,1.279,1.281
3.70,1.280,1.279,1.281
3.75,1.280,1.279,1.281
3.80,1.280,1.279,1.281
3.85,1.280,1.279,1.281
3.90,1.280,1.278,1.282
3.95,1.280,1.279,1.281
4.00,1.280,1.279,1.281
4.05,1.280,1.279,1.281
4.10,1.280,1.278,1.282
4.15,1.280,1.279,1.281
4.20,1.280,1.279,1.281
4.25,1.280,1.279,1.281
4.30,1.280,1.279,1.281
4.35,1.280,1.279,1.281
4.40,1.280,1.279,1.281
4.45,1.280,1.279,1.281
4.50,1.280,1.279,1.281
4.55,1.280,1.279,1.281
4.60,1.280,1.279,1.282
4.65,1.281,1.280,1.282
4.70,1.280,1.279,1.282
4.75,1.280,1.279,1.281
4.80,1.280,1.279,1.282
4.85,1.280,1.279,1.281
4.90,1.280,1.279,1.281
4.95,1.280,1.279,1.281
5.00,1.280,1.279,1.281
5.05,1.280,1.279,1.281
5.10,1.280,1.279,1.282
5.15,1.280,1.279,1.281
5.20,1.280,1.278,1.282
5.25,1.280,1.279,1.281
5.30,1.280,1.278,1.282
5.35,1.280,1.279,1.281
5.40,1.279,1.278,1.281
5.45,1.280,1.279,1.281
5.50,1.280,1.279,1.281
5.55,1.280,1.279,1.281
5.60,1.280,1.279,1.281
5.65,1.280,1.279,1.281
5.70,1.280,1.279,1.281
5.75,1.280,1.279,1.281
5.80,1.280,1.280,1.281
5.85,1.280,1.279,1.281
5.90,1.280,1.279,1.281
5.95,1.280,1.279,1.281
6.05,1.280,1.279,1.281
6.10,1.280,1.279,1.281
6.15,1.280,1.279,1.281
6.20,1.280,1.279,1.281
6.25,1.280,1.279,1.281
6.30,1.280,1.279,1.281
6.35,1.280,1.279,1.281
6.40,1.281,1.280,1.282
6.45,1.280,1.280,1.281
6.50,1.280,1.280,1.281
6.55,1.280,1.280,1.281
6.60,1.280,1.279,1.281
6.65,1.280,1.280,1.281
6.70,1.280,1.279,1.281
6.75,1.280,1.279,1.281
6.80,1.281,1.280,1.282
6.85,1.280,1.279,1.281
6.90,1.280,1.279,1.281
6.95,1.280,1.279,1.281
7.00,1.280,1.279,1.281
