v_fps,panel,perf,penet,dents,total
0,A,0.37,3.47,12.25,16.09
0,B,0.10,0.65,1.67,2.42
0,C,0.55,2.19,2.34,5.08
700,A,0.30,2.08,9.94,12.32
700,B,0.68,3.31,7.97,11.96
700,C,0.52,1.01,1.20,2.72
1085,A,0.59,5.02,13.28,18.89
1085,B,1.14,5.39,11.16,17.69
1085,C,1.11,2.62,2.62,6.35
1450,A,1.92,6.60,11.50,20.02
1450,B,1.36,5.06,7.40,13.82
1685,A,1.66,5.74,12.18,19.58
1685,B,1.47,7.20,10.57,19.24
1685,C,1.57,2.69,6.29,10.55
2130,A,1.48,5.17,14.80,21.45
2130,B,2.86,8.00,15.45,26.31
2130,C,1.76,3.32,4.35,9.43
