v_fps,panel,perf,penet,dents,total
0,A,1.49,0.97,2.39,4.85
0,B,1.47,1.29,1.13,3.89
0,C,1.18,0.47,0.18,1.83
0,D,0.83,0.65,0.04,1.52
700,A,1.25,0.76,1.42,3.43
700,B,1.29,1.23,1.01,3.53
700,C,0.94,0.55,0.16,1.65
700,D,1.01,0.49,0.16,1.66
1085,A,1.53,0.75,1.78,4.06
1085,B,1.41,1.17,0.84,3.42
1085,C,1.15,0.64,0.17,1.96
1085,D,1.02,0.75,0.30,2.07
1450,A,1.57,0.62,1.36,3.55
1450,B,1.25,1.19,0.86,3.30
1685,A,2.05,0.70,1.15,3.90
1685,B,1.79,0.97,0.58,3.34
1685,C,1.11,0.65,0.26,2.02
2130,A,1.91,1.36,2.69,5.96
2130,B,2.00,2.23,1.60,5.83
2130,C,1.83,0.74,0.20,2.77
